TIME,LABEL
1.538321995
2.629659864,54.9784BPM
3.720997732,54.9784BPM
4.812335601,54.9784BPM
5.903673469,54.9784BPM
6.971791383,56.1736BPM
8.051519274,55.5696BPM
9.131247166,55.5696BPM
10.210975057,55.5696BPM
11.313922902,54.3997BPM
12.405260771,54.9784BPM
13.496598639,54.9784BPM
14.587936508,54.9784BPM
15.679274376,54.9784BPM
16.770612245,54.9784BPM
17.861950113,54.9784BPM
18.953287982,54.9784BPM
20.044625850,54.9784BPM
21.135963719,54.9784BPM
22.227301587,54.9784BPM
23.318639456,54.9784BPM
24.409977324,54.9784BPM
25.501315193,54.9784BPM
26.592653061,54.9784BPM
27.683990930,54.9784BPM
28.775328798,54.9784BPM
29.866666667,54.9784BPM
30.958004535,54.9784BPM
32.049342404,54.9784BPM
33.140680272,54.9784BPM
34.232018141,54.9784BPM
35.323356009,54.9784BPM
36.414693878,54.9784BPM
37.506031746,54.9784BPM
38.597369615,54.9784BPM
39.688707483,54.9784BPM
40.780045351,54.9784BPM
41.871383220,54.9784BPM
42.962721088,54.9784BPM
44.054058957,54.9784BPM
45.145396825,54.9784BPM
46.236734694,54.9784BPM
47.328072562,54.9784BPM
48.419410431,54.9784BPM
49.510748299,54.9784BPM
50.602086168,54.9784BPM
51.693424036,54.9784BPM
52.784761905,54.9784BPM
53.876099773,54.9784BPM
54.967437642,54.9784BPM
56.058775510,54.9784BPM
57.150113379,54.9784BPM
58.241451247,54.9784BPM
59.332789116,54.9784BPM
60.424126984,54.9784BPM
61.515464853,54.9784BPM
62.606802721,54.9784BPM
63.698140590,54.9784BPM
64.789478458,54.9784BPM
65.880816327,54.9784BPM
66.972154195,54.9784BPM
68.063492063,54.9784BPM
69.154829932,54.9784BPM
70.246167800,54.9784BPM
71.337505669,54.9784BPM
72.428843537,54.9784BPM
73.520181406,54.9784BPM
74.588299320,56.1736BPM
75.668027211,55.5696BPM
76.770975057,54.3997BPM
77.862312925,54.9784BPM
78.953650794,54.9784BPM
80.044988662,54.9784BPM
81.136326531,54.9784BPM
82.227664399,54.9784BPM
83.319002268,54.9784BPM
84.410340136,54.9784BPM
85.501678005,54.9784BPM
86.593015873,54.9784BPM
87.684353741,54.9784BPM
88.775691610,54.9784BPM
89.867029478,54.9784BPM
90.958367347,54.9784BPM
92.049705215,54.9784BPM
93.141043084,54.9784BPM
94.232380952,54.9784BPM
95.323718821,54.9784BPM
96.415056689,54.9784BPM
97.506394558,54.9784BPM
98.597732426,54.9784BPM
99.689070295,54.9784BPM
100.780408163,54.9784BPM
101.871746032,54.9784BPM
102.963083900,54.9784BPM
104.054421769,54.9784BPM
105.145759637,54.9784BPM
106.237097506,54.9784BPM
107.328435374,54.9784BPM
108.419773243,54.9784BPM
109.511111111,54.9784BPM
110.602448980,54.9784BPM
111.693786848,54.9784BPM
112.785124717,54.9784BPM
113.876462585,54.9784BPM
114.967800454,54.9784BPM
116.059138322,54.9784BPM
117.150476190,54.9784BPM
118.241814059,54.9784BPM
119.333151927,54.9784BPM
120.424489796,54.9784BPM
121.515827664,54.9784BPM
122.607165533,54.9784BPM
123.698503401,54.9784BPM
124.789841270,54.9784BPM
125.881179138,54.9784BPM
126.972517007,54.9784BPM
128.063854875,54.9784BPM
129.155192744,54.9784BPM
130.246530612,54.9784BPM
131.337868481,54.9784BPM
132.429206349,54.9784BPM
133.520544218,54.9784BPM
134.611882086,54.9784BPM
135.680000000,56.1736BPM
136.759727891,55.5696BPM
137.862675737,54.3997BPM
138.954013605,54.9784BPM
140.045351474,54.9784BPM
141.136689342,54.9784BPM
142.228027211,54.9784BPM
143.319365079,54.9784BPM
144.410702948,54.9784BPM
145.502040816,54.9784BPM
146.593378685,54.9784BPM
147.684716553,54.9784BPM
148.776054422,54.9784BPM